"aX,aY,aZ,gX,gY,gZ"
"-0.053833,-0.810669,-0.646362,4.028320,12.023925,-15.563964"
"-0.045288,-0.826416,-0.678467,5.249023,4.699707,-14.099120"
"-0.057007,-0.791870,-0.657227,9.155273,-4.943848,-11.535644"
"-0.080444,-0.736938,-0.598022,4.943848,-8.483887,-15.624999"
"-0.112183,-0.813232,-0.463135,4.638672,-8.789063,-23.132322"
"-0.103394,-0.775513,-0.509888,9.826660,9.765625,-18.981934"
"-0.059326,-0.834229,-0.639771,12.023925,8.972168,-20.141600"
"-0.052490,-0.869751,-0.648193,16.967773,6.530761,-16.113281"
"-0.092773,-0.810059,-0.680542,32.287598,2.807617,-6.958007"
"-0.126099,-0.783936,-0.593262,34.851074,-7.629394,-6.835937"
"-0.124512,-0.772827,-0.549316,23.925779,-5.493164,-11.901855"
"-0.119995,-0.760986,-0.545166,19.165039,0.488281,-14.648437"
"-0.101440,-0.788330,-0.649658,13.305663,12.634276,-19.104004"
"-0.087402,-0.869873,-0.755249,7.141113,13.427733,-19.653320"
"-0.088501,-0.883057,-0.756470,13.671874,2.441406,-9.765625"
"-0.112793,-0.769287,-0.672852,20.141600,-2.868652,-3.967285"
"-0.145996,-0.656250,-0.603760,18.432617,-5.493164,-5.065917"
"-0.140381,-0.683838,-0.581055,12.451171,0.549316,-16.601562"
"-0.130249,-0.783447,-0.620483,11.474608,11.901855,-18.005371"
"-0.110352,-0.826782,-0.743774,8.605957,13.427733,-15.441894"
"-0.112183,-0.818481,-0.770996,5.187988,7.324218,-6.591796"
"-0.128906,-0.780640,-0.729736,11.108397,-2.746582,0.793457"
"-0.154663,-0.700562,-0.626221,13.610839,-3.417969,1.098633"
"-0.171387,-0.660645,-0.644897,15.808105,5.981445,-4.211426"
"-0.169189,-0.673218,-0.711914,9.948730,9.277344,-12.573241"
"-0.134888,-0.723999,-0.900024,-20.324705,-13.122558,-26.855467"
"-0.132324,-0.925903,-0.723633,-26.123045,-28.869627,-29.968260"
"-0.152100,-0.799072,-0.629028,-7.263183,-21.606443,-10.070800"
"-0.158569,-0.754883,-0.670776,0.976562,-13.122558,-8.728027"
"-0.155273,-0.765381,-0.576050,5.065917,-12.756347,-11.230468"
"-0.134888,-0.787964,-0.686646,9.094238,1.647949,-12.573241"
"-0.121094,-0.828979,-0.744507,3.417969,-3.845215,-13.549804"
"-0.133057,-0.822998,-0.714722,4.028320,-15.563964,-9.765625"
"-0.142700,-0.798828,-0.685303,4.150391,-17.456055,-8.850098"
"-0.159546,-0.774048,-0.640869,0.671387,-17.150879,-8.422852"
"-0.172852,-0.730591,-0.612183,-10.864257,-13.610839,-10.864257"
"-0.163086,-0.747070,-0.626953,-22.644041,-10.681151,-16.723633"
"-0.141724,-0.817993,-0.661011,-23.803709,-15.991210,-17.578125"
"-0.129028,-0.839111,-0.642578,-19.836426,-18.127441,-15.136718"
"-0.123169,-0.831299,-0.656128,-11.657714,-18.737793,-9.155273"
"-0.132690,-0.829712,-0.627319,-10.864257,-22.216795,-4.943848"
"-0.160034,-0.792969,-0.541748,-8.666992,-16.723633,-2.624511"
"-0.167236,-0.754761,-0.518677,-3.845215,-10.437011,-2.929687"
"-0.151611,-0.812866,-0.544556,-3.417969,-0.915527,-6.958007"
"-0.145874,-0.839111,-0.566528,-13.183593,1.281738,-6.530761"
"-0.142212,-0.790894,-0.643799,-23.132322,-6.103515,-7.446289"
"-0.119263,-0.869385,-0.652466,-27.038572,-11.291503,-8.911133"
"-0.146606,-0.855103,-0.573364,-21.850584,-16.601562,-3.051758"
"-0.167358,-0.802490,-0.543213,-9.643555,-12.023925,0.732422"
"-0.162842,-0.798706,-0.528687,-4.882812,-9.887695,-0.976562"
"-0.131104,-0.874268,-0.555176,-5.920410,-8.117676,-1.586914"
"-0.104736,-0.905029,-0.601562,-19.958496,-8.972168,4.638672"
"-0.106079,-0.902832,-0.584839,-19.714355,-13.183593,11.840819"
"-0.125000,-0.855957,-0.542358,-16.357422,-14.160155,14.587401"
"-0.121338,-0.836914,-0.519287,-7.629394,-14.160155,16.662598"
"-0.115967,-0.841431,-0.523437,-8.728027,-13.366698,17.211914"
"-0.108765,-0.819580,-0.529419,-17.517090,-13.366698,17.272949"
"-0.096558,-0.810913,-0.530396,-18.737793,-13.488769,16.662598"
"-0.078369,-0.816284,-0.543823,-22.766111,-15.319823,15.075683"
"-0.077881,-0.807495,-0.531860,-30.883787,-18.554687,13.732909"
"-0.084229,-0.792603,-0.496460,-31.616209,-17.700195,12.878417"
"-0.075562,-0.804687,-0.515869,-30.334471,-13.610839,10.375976"
"-0.049072,-0.902710,-0.517334,-36.621094,-15.624999,8.666992"
"-0.050293,-0.914673,-0.487061,-34.484863,-19.714355,15.319823"
"-0.061768,-0.810669,-0.435425,-34.790039,-18.615723,17.456055"
"-0.053955,-0.788574,-0.445190,-39.062500,-17.395020,14.160155"
"-0.044556,-0.849609,-0.427002,-42.297359,-17.272949,8.850098"
"-0.040771,-0.854858,-0.415771,-37.170410,-15.441894,9.887695"
"-0.031616,-0.861572,-0.393555,-35.766602,-10.192870,10.192870"
"-0.017090,-0.940796,-0.415039,-36.621094,-7.141113,11.108397"
"-0.011841,-0.887817,-0.457764,-28.137205,-6.164550,17.211914"
"-0.018921,-0.813965,-0.449463,-16.662598,-9.582520,17.761230"
"-0.032837,-0.772949,-0.405884,-12.939452,-10.009766,13.610839"
"-0.027832,-0.853882,-0.372559,-9.399414,-10.742187,5.249023"
"-0.000732,-0.959961,-0.365234,-6.652832,-9.887695,4.089355"
"0.011963,-1.002441,-0.369629,-7.873535,-6.591796,11.474608"
"0.004517,-1.000000,-0.330322,-8.422852,-5.004883,17.700195"
"0.006592,-0.803223,-0.364868,-5.615234,4.516602,28.869627"
"0.017578,-0.796143,-0.426025,-8.056641,5.859375,19.836426"
"0.024414,-0.847168,-0.406982,-10.437011,-2.685547,11.474608"
"0.035767,-0.893677,-0.380127,-9.948730,-2.258301,12.145995"
"0.055664,-0.944336,-0.379150,-9.887695,-1.220703,13.061522"
"0.062744,-0.958374,-0.377441,-12.634276,2.807617,18.798828"
"0.057373,-0.903198,-0.389160,-10.742187,5.310058,24.230955"
"0.033813,-0.796387,-0.372070,-15.808105,3.417969,17.639160"
"0.042603,-0.806030,-0.374023,-19.226074,4.760742,12.084960"
"0.071167,-0.938232,-0.427490,-17.639160,5.554199,4.516602"
"0.067383,-0.963623,-0.404175,-2.197266,-3.723144,8.666992"
"0.050049,-0.917358,-0.314087,2.990722,-6.958007,11.169433"
"0.044800,-0.887817,-0.254150,1.220703,-6.591796,10.742187"
"0.056763,-0.895020,-0.264160,-9.643555,2.380371,8.178711"
"0.077271,-0.871704,-0.317749,-9.826660,9.521484,8.422852"
"0.080200,-0.833130,-0.359375,-9.094238,10.864257,7.812500"
"0.088989,-0.864502,-0.410767,-3.967285,7.690429,5.187988"
"0.087891,-0.896362,-0.428223,8.239746,-2.807617,5.615234"
"0.072632,-0.878906,-0.357788,15.808105,-10.498046,6.774902"
"0.063965,-0.854370,-0.283691,23.498533,-16.723633,6.042480"
"0.058960,-0.848267,-0.265259,12.390136,-9.094238,4.943848"
"0.060791,-0.846924,-0.268066,-6.042480,5.554199,5.065917"
"0.079712,-0.858032,-0.361816,-8.911133,13.183593,5.920410"
"0.095703,-0.885742,-0.496094,-14.526366,18.249512,8.056641"
"0.091553,-0.895020,-0.487305,-5.310058,4.821777,12.573241"
"0.066040,-0.857666,-0.392822,6.469726,-0.427246,15.441894"
"0.041016,-0.769287,-0.323853,24.047850,-3.601074,15.563964"
"0.046387,-0.780151,-0.304321,15.808105,1.586914,5.615234"
"0.063843,-0.849854,-0.363159,-3.540039,15.319823,0.000000"
"0.112427,-0.976074,-0.503540,-3.601074,17.639160,3.417969"
"0.120605,-0.931274,-0.477905,15.319823,12.817382,18.371582"
"0.099487,-0.862671,-0.458862,24.169920,10.009766,27.709959"
"0.051758,-0.717407,-0.409058,12.329101,5.310058,18.066406"
