"aX,aY,aZ,gX,gY,gZ"
"-0.062866,-0.012817,-0.989624,14.587401,1.525879,5.554199"
"-0.042603,-0.034302,-0.991699,9.643555,5.310058,-0.549316"
"-0.033936,-0.078979,-0.997437,6.591796,5.187988,0.366211"
"-0.048340,-0.040405,-1.036865,1.037598,2.563476,4.638672"
"-0.047852,-0.084595,-0.978516,-1.831055,-4.821777,4.394531"
"-0.044189,-0.094238,-0.983643,7.385253,-1.342773,7.324218"
"-0.045044,-0.061401,-1.013916,4.394531,0.427246,10.192870"
"-0.041016,-0.068115,-0.987427,0.488281,-1.464844,8.239746"
"-0.041992,-0.096191,-0.975342,1.586914,0.854492,8.178711"
"-0.045898,-0.055298,-0.984863,2.136230,3.967285,12.451171"
"-0.034180,-0.023804,-0.965698,6.958007,3.662109,9.704590"
"-0.049438,-0.032104,-0.963989,7.934570,6.958007,11.718749"
"-0.036987,-0.063965,-1.000122,6.225585,7.263183,11.657714"
"-0.051880,-0.052856,-1.004150,-4.455566,2.685547,17.944336"
"-0.057251,-0.035522,-0.982788,0.549316,1.342773,21.484373"
"-0.054199,-0.030151,-0.997314,6.347656,3.417969,20.324705"
"-0.055542,-0.027588,-0.997803,3.051758,0.305176,18.798828"
"-0.056885,-0.055786,-0.940063,7.080078,0.671387,20.019531"
"-0.041260,-0.011841,-0.958252,19.775391,7.385253,25.817869"
"-0.052612,0.033691,-1.026733,13.244628,8.422852,27.404783"
"-0.057739,0.021240,-1.016724,5.493164,0.305176,24.169920"
"-0.056030,-0.004639,-0.926270,7.080078,-1.770019,24.719236"
"-0.073120,0.064941,-0.901123,13.366698,3.051758,29.235838"
"-0.080444,0.115845,-0.979370,10.681151,11.779784,25.024412"
"-0.084229,0.071411,-1.028809,4.943848,12.084960,15.319823"
"-0.072632,-0.012939,-1.052124,15.258788,6.164550,17.578125"
"-0.061279,-0.040649,-0.993530,25.817869,4.577637,28.320311"
"-0.096436,0.116455,-0.993164,18.859863,5.554199,33.386230"
"-0.105225,0.169434,-0.989258,9.338379,5.676269,26.977537"
"-0.096069,0.126465,-1.005249,15.747069,6.958007,18.737793"
"-0.089478,0.132690,-0.993530,15.502929,3.967285,17.150879"
"-0.085693,0.110229,-0.932373,16.113281,6.225585,14.892577"
"-0.076050,0.079834,-0.972412,19.531250,10.009766,14.709472"
"-0.099243,0.086548,-1.052002,15.502929,11.352538,16.174316"
"-0.104004,0.104248,-1.047974,5.004883,3.479004,16.113281"
"-0.105103,0.129272,-1.010376,7.934570,-0.305176,15.991210"
"-0.117432,0.182617,-0.952393,11.779784,3.112793,14.953612"
"-0.128418,0.242554,-1.000732,11.047362,6.896972,10.620116"
"-0.131226,0.229858,-1.029053,2.807617,6.652832,2.380371"
"-0.126587,0.227539,-1.024292,-2.990722,3.173828,0.549316"
"-0.115234,0.235107,-1.044067,-10.192870,0.061035,-2.624511"
"-0.112793,0.176147,-1.003906,-9.155273,-1.281738,-4.882812"
"-0.126831,0.187378,-1.031982,-6.591796,0.549316,-2.929687"
"-0.131592,0.306885,-0.985962,-5.493164,-2.136230,-1.159668"
"-0.115845,0.238281,-0.968140,-4.821777,0.305176,-14.038085"
"-0.109619,0.180298,-1.014282,-4.150391,2.929687,-18.005371"
"-0.109375,0.194946,-0.998047,-2.929687,-3.601074,-13.183593"
"-0.122437,0.228760,-0.966064,-2.868652,-2.075195,-14.343261"
"-0.134155,0.188599,-1.041016,-3.601074,1.770019,-19.287109"
"-0.138794,0.218994,-0.973755,-8.300781,-5.310058,-19.958496"
"-0.130859,0.244507,-0.930908,-13.183593,-3.356933,-27.587889"
"-0.093872,0.124146,-0.980469,3.906250,4.882812,-38.818359"
"-0.073975,0.003784,-1.035522,8.300781,3.662109,-36.071777"
"-0.107422,0.110596,-1.011963,-0.183105,-3.967285,-20.263670"
"-0.134399,0.220093,-0.948120,-5.615234,-9.643555,-17.578125"
"-0.132324,0.202637,-0.892578,-14.587401,-6.286621,-36.071777"
"-0.099243,0.002686,-0.931396,-10.620116,6.774902,-48.461910"
"-0.081543,-0.114624,-1.063599,-5.554199,7.812500,-43.151852"
"-0.082031,-0.002563,-1.059692,0.427246,-1.708984,-23.986814"
"-0.129272,0.158936,-0.947754,-13.244628,-14.709472,-14.648437"
"-0.140503,0.169922,-0.935303,-37.597656,-13.793944,-24.841307"
"-0.121094,0.066162,-0.970581,-41.442867,-11.291503,-31.555174"
"-0.094482,-0.023560,-0.978394,-36.621094,-8.239746,-37.536621"
"-0.086914,-0.084717,-1.042725,-25.024412,-6.103515,-34.545898"
"-0.096558,-0.061523,-1.040771,-19.104004,-11.047362,-26.489256"
"-0.082153,0.018799,-0.990112,-23.315428,-12.878417,-27.160643"
"-0.093872,0.026978,-0.975952,-31.005857,-13.854980,-28.930662"
"-0.083252,-0.013916,-0.943726,-31.249998,-12.512206,-32.653809"
"-0.052979,-0.135986,-0.990479,-24.841307,-5.310058,-37.780762"
"-0.040771,-0.142334,-0.994507,-14.892577,-6.347656,-29.418943"
"-0.041626,-0.122681,-0.945068,-0.915527,-8.544922,-22.460936"
"-0.028564,-0.101318,-0.927612,8.361816,-0.122070,-22.399900"
"-0.011841,-0.079468,-1.013794,-8.239746,-4.211426,-16.784668"
"-0.021118,-0.006836,-0.985352,-23.376463,-12.634276,-18.127441"
"-0.038696,-0.142456,-1.005005,-9.338379,-14.160155,-19.348145"
"-0.042114,-0.186890,-0.950073,-2.563476,-14.099120,-16.418457"
"-0.027222,-0.214233,-0.988647,8.605957,-1.464844,-13.366698"
"-0.025513,-0.141846,-1.039063,21.911619,3.417969,-2.868652"
"-0.022461,0.041138,-0.948486,13.061522,-4.150391,3.845215"
"-0.016357,-0.022217,-0.952271,7.995605,-0.915527,-14.343261"
"-0.000610,-0.220581,-1.024536,13.244628,0.244141,-16.174316"
"-0.016602,-0.151855,-1.031738,13.977050,-6.042480,-1.403808"
"-0.033569,-0.115723,-0.971191,17.700195,-8.972168,5.004883"
"-0.043457,-0.027710,-0.917603,24.047850,5.981445,4.211426"
"-0.027100,0.011353,-1.019531,22.766111,9.643555,-0.183105"
"-0.015625,-0.057251,-1.009155,11.657714,4.516602,-8.361816"
"-0.023804,-0.074829,-1.009521,-10.925292,1.098633,-5.126953"
"-0.037598,-0.082520,-1.037720,-9.460449,-2.441406,-0.549316"
"-0.044800,-0.058838,-0.999268,-4.882812,-3.051758,1.586914"
"-0.033447,-0.026611,-0.981689,0.488281,0.305176,2.685547"
"-0.030151,-0.033936,-1.000977,2.380371,4.089355,0.732422"
"-0.024658,-0.046997,-1.022217,-7.629394,2.868652,-0.610352"
"-0.008789,-0.094482,-0.987427,-11.596679,0.000000,0.000000"
"-0.031494,-0.063354,-1.002808,-13.122558,0.061035,5.737304"
"-0.046753,-0.049805,-1.004395,-15.136718,-1.037598,7.019042"
"-0.047607,-0.038452,-0.975098,-21.789549,-0.854492,6.103515"
"-0.047607,-0.031128,-0.988403,-24.841307,3.295898,2.380371"
"-0.038330,-0.083984,-0.990479,-22.705076,3.784179,-1.403808"
"-0.021118,-0.117920,-0.993286,-24.658201,3.967285,0.671387"
"-0.025513,-0.158569,-1.050171,-24.108885,3.417969,5.676269"
"-0.031860,-0.170898,-1.040405,-25.390623,-2.746582,12.817382"
"-0.036255,-0.145752,-0.946167,-18.371582,-1.281738,19.042969"
"-0.050415,-0.077271,-0.963013,-9.765625,6.347656,21.179197"
"-0.051392,-0.014893,-1.004639,-27.038572,2.807617,16.479492"
"-0.038696,-0.060303,-0.983643,-35.583496,0.976562,12.573241"
"-0.037476,-0.195435,-0.945801,-10.986327,1.464844,7.019042"
"-0.044556,-0.143188,-0.974121,7.690429,7.934570,15.930175"
"-0.044678,-0.124268,-1.007568,5.798339,8.972168,18.737793"
"-0.046875,-0.114380,-0.982910,4.699707,5.798339,19.897461"
