"aX,aY,aZ,gX,gY,gZ"
"-0.166382,-0.925293,-0.063232,-10.986327,0.183105,-55.053707"
"-0.125977,-1.084473,-0.101196,-17.028809,-2.563476,-54.382320"
"-0.078735,-1.307861,-0.092896,-23.742674,-5.554199,-42.968746"
"-0.093140,-1.280640,-0.087769,9.277344,-6.286621,-14.282226"
"-0.187866,-1.033325,-0.037598,18.188477,-4.516602,-5.004883"
"-0.232544,-0.862671,0.021973,16.662598,-6.164550,-6.530761"
"-0.192993,-0.895874,-0.018677,6.958007,2.868652,-15.869140"
"-0.179443,-0.952515,-0.105591,-1.586914,12.084960,-21.972654"
"-0.138550,-1.085327,-0.176147,-6.469726,3.662109,-14.221190"
"-0.099976,-1.219849,-0.194702,-9.521484,-0.854492,-5.737304"
"-0.136475,-1.168335,-0.100830,-1.586914,-10.009766,18.249512"
"-0.170288,-1.079712,-0.016602,10.742187,-11.352538,34.118652"
"-0.190674,-0.942627,0.043701,7.995605,-2.197266,32.409668"
"-0.141602,-1.006470,-0.009399,-1.525879,2.441406,29.968260"
"-0.115845,-1.093628,-0.058838,-22.094725,6.164550,32.714844"
"-0.088257,-1.185669,-0.105347,-13.977050,1.098633,48.339840"
"-0.097046,-1.128906,-0.045288,-5.920410,0.854492,55.786129"
"-0.104736,-1.064941,-0.041504,-0.061035,8.300781,66.711426"
"-0.120605,-0.992187,-0.052490,18.981934,9.460449,73.364258"
"-0.135010,-0.818970,-0.062988,26.550291,6.713867,72.265625"
"-0.066895,-0.868042,-0.076172,1.770019,5.920410,57.739254"
"-0.023560,-0.984131,-0.099365,-32.897949,8.544922,46.142574"
"0.007324,-1.092041,-0.113281,-17.028809,1.892090,54.870602"
"0.011353,-1.035767,0.004272,-11.901855,-0.488281,59.265133"
"0.013672,-1.020752,0.032349,-8.056641,6.408691,62.377926"
"0.010864,-0.980957,-0.003662,13.488769,14.160155,64.453125"
"0.044067,-0.978516,-0.046143,21.240232,13.366698,62.927242"
"0.096313,-1.104370,-0.057495,1.770019,11.779784,62.072750"
"0.118530,-1.142700,-0.055664,-12.329101,11.779784,71.533203"
"0.115112,-1.102173,-0.043457,-5.554199,8.666992,86.181633"
"0.105957,-0.966675,-0.009277,-4.882812,9.338379,90.332024"
"0.132446,-0.955322,-0.037109,6.103515,14.770507,87.524406"
"0.155762,-0.969971,-0.056763,16.601562,14.953612,85.571281"
"0.205078,-1.004272,-0.073608,-10.192870,14.465331,86.486809"
"0.247559,-1.066895,-0.077637,-18.615723,13.977050,88.684074"
"0.253296,-1.039795,-0.029785,-30.090330,11.169433,99.121086"
"0.240723,-0.945068,0.036743,-16.723633,12.451171,107.910149"
"0.238647,-0.733643,0.126099,-8.300781,19.409180,104.675285"
"0.300659,-0.795776,0.016479,-14.465331,36.926270,84.289543"
"0.337402,-0.907349,-0.051758,-36.743164,38.696289,72.937012"
"0.415405,-1.110474,-0.127808,-37.719727,35.095215,76.110840"
"0.387329,-0.937012,-0.121460,1.770019,24.475096,96.191399"
"0.361572,-0.767944,-0.108154,20.263670,14.831542,101.074211"
"0.354004,-0.547852,-0.003174,8.850098,15.991210,74.340820"
"0.440308,-0.662720,-0.065063,21.423338,20.996092,57.495113"
"0.510498,-0.862915,-0.194702,30.456541,17.333984,42.785641"
"0.532837,-0.917969,-0.158936,3.417969,1.708984,48.217770"
"0.536255,-0.899658,-0.075806,8.239746,1.953125,59.082027"
"0.507446,-0.700806,-0.056641,11.596679,4.577637,61.645504"
"0.498413,-0.519897,-0.037720,0.610352,10.253905,50.598141"
"0.513428,-0.509766,-0.070190,-27.465818,16.540527,23.559568"
"0.532349,-0.568604,-0.155396,-36.315918,14.770507,11.779784"
"0.584839,-0.747437,-0.130371,-48.400875,4.150391,-4.211426"
"0.607056,-0.818970,-0.097900,-34.606934,-2.502441,-3.112793"
"0.586670,-0.727539,-0.052124,-4.516602,-3.662109,3.906250"
"0.559204,-0.609985,-0.036377,-2.380371,-2.197266,1.159668"
"0.552856,-0.599487,-0.050293,-10.437011,0.671387,-12.268065"
"0.553101,-0.613403,-0.060547,-16.479492,-0.244141,-25.939939"
"0.573242,-0.747437,-0.105347,-21.972654,-0.976562,-31.311033"
"0.600830,-0.921509,-0.073608,-27.832029,-5.676269,-32.470703"
"0.588867,-0.904297,-0.034546,4.333496,-10.253905,-19.165039"
"0.519165,-0.708862,-0.011475,22.766111,-7.019042,-17.333984"
"0.487427,-0.633911,0.019165,17.333984,-4.455566,-24.841307"
"0.486206,-0.699829,-0.073242,2.990722,2.136230,-41.870113"
"0.476685,-0.716675,-0.114624,7.934570,-3.417969,-50.598141"
"0.468628,-0.774536,-0.045654,7.934570,-6.469726,-59.448238"
"0.483765,-0.887695,-0.059814,3.234863,-0.854492,-62.377926"
"0.470093,-0.904663,-0.068726,10.925292,-2.929687,-60.974117"
"0.420410,-0.801392,0.063477,20.812986,1.586914,-61.767574"
"0.371704,-0.723267,-0.005615,14.709472,7.934570,-66.589355"
"0.338379,-0.757812,-0.079834,-2.319336,6.103515,-79.895020"
"0.347046,-0.860229,-0.112183,-23.132322,-3.173828,-90.148918"
"0.350830,-1.060181,-0.142700,-19.104004,-14.770507,-81.787102"
"0.346924,-1.073975,-0.005371,-7.812500,-18.981934,-74.096680"
"0.312622,-0.968628,0.020874,5.310058,-13.549804,-63.232418"
"0.270020,-0.875122,0.019775,6.225585,-9.033203,-62.499996"
"0.203979,-0.773682,0.014648,3.051758,-7.385253,-68.054199"
"0.181763,-0.816406,-0.045898,-3.845215,-5.126953,-82.641594"
"0.179932,-0.883057,-0.073975,-21.362303,-8.483887,-91.491692"
"0.245361,-1.229126,-0.104370,-51.940914,-14.160155,-84.655754"
"0.248413,-1.328857,-0.028809,-25.573729,-18.676758,-67.993164"
"0.132935,-0.924927,0.063110,53.039547,-22.155760,-37.780762"
"0.098755,-0.811768,0.080078,29.541014,-9.887695,-48.217770"
"0.066528,-0.807251,0.009277,7.141113,-4.150391,-58.715816"
"0.061768,-0.903198,-0.044800,-2.624511,-4.455566,-73.974609"
"0.120850,-1.170410,-0.095703,-18.371582,-5.126953,-79.833984"
"0.129639,-1.259766,-0.093994,-1.037598,-10.437011,-62.499996"
"0.082397,-1.114624,-0.015625,28.686522,-14.709472,-49.255367"
"0.014038,-0.898193,0.017944,41.687008,-14.465331,-40.405270"
"-0.003784,-0.864624,0.027100,17.456055,-7.446289,-50.720211"
"-0.028442,-0.855591,0.014771,14.038085,-2.258301,-61.218258"
"-0.034424,-0.892090,-0.050049,13.671874,-0.732422,-65.734863"
"-0.012329,-1.054688,-0.158081,5.126953,1.037598,-71.777344"
"-0.002686,-1.130371,-0.178345,10.803222,-7.507324,-65.246582"
"-0.045044,-1.044556,-0.097168,26.733397,-14.282226,-57.434078"
"-0.088867,-0.906250,0.010376,36.499023,-18.005371,-52.856441"
"-0.103394,-0.955078,-0.006226,9.582520,-7.263183,-60.729977"
"-0.107178,-0.983887,-0.039429,0.976562,-1.220703,-61.401363"
"-0.116943,-1.008911,-0.123169,-2.380371,-0.671387,-59.570309"
"-0.149780,-0.979492,-0.153320,7.507324,-3.662109,-54.992672"
"-0.162109,-0.984009,-0.129150,15.624999,-8.789063,-53.710934"
"-0.162476,-1.019775,-0.109497,9.094238,-10.925292,-53.161617"
"-0.170776,-1.078979,-0.084595,3.051758,-10.375976,-50.415035"
"-0.181885,-1.115234,-0.088989,-15.441894,-8.605957,-41.625973"
"-0.186157,-1.131836,-0.083740,-16.845703,-8.911133,-30.517576"
"-0.197754,-1.121582,-0.086426,5.432128,-9.094238,-16.113281"
"-0.213379,-0.993408,-0.023315,18.005371,-8.728027,-10.986327"
"-0.235962,-1.011597,-0.130737,3.051758,2.380371,-14.099120"
"-0.233398,-1.043701,-0.140503,3.601074,-6.469726,-5.737304"
"-0.201294,-1.062134,-0.043335,3.723144,-3.173828,3.295898"
"-0.179810,-1.131836,-0.099854,-0.793457,2.502441,6.958007"
"-0.208618,-1.016235,-0.092041,6.408691,1.159668,20.812986"
"-0.212280,-0.986084,-0.053955,1.220703,2.014160,23.742674"
"-0.202637,-1.003540,-0.069580,0.061035,6.042480,24.108885"
"-0.186768,-1.019165,-0.120972,7.263183,10.192870,26.916502"
"-0.180298,-1.024780,-0.153442,2.136230,7.507324,31.921385"
"-0.155273,-1.091797,-0.158325,-11.230468,0.183105,39.550781"
"-0.150024,-1.088745,-0.120117,-10.009766,-1.708984,45.410152"
"-0.148193,-1.036621,-0.081665,-3.540039,-1.037598,54.443356"
"-0.147583,-0.999878,-0.079712,0.854492,2.746582,58.776852"
"-0.124634,-0.979004,-0.091553,-3.967285,4.455566,58.776852"
"-0.070312,-1.097656,-0.147217,-23.010252,8.605957,58.410641"
"-0.057495,-1.128662,-0.167603,-15.075683,4.089355,68.420410"
"-0.065308,-1.070679,-0.096802,8.850098,-2.868652,80.078125"
"-0.069946,-0.990845,-0.007813,17.456055,-2.502441,82.092278"
"-0.048706,-0.935425,-0.013428,24.841307,4.028320,79.711914"
"-0.026123,-0.945435,-0.037720,25.329588,10.681151,75.195312"
"0.026855,-0.995239,-0.129028,9.826660,13.610839,74.645996"
""
"0.487915,-0.740479,-0.150513,-14.465331,-5.798339,-22.888182"
"0.469971,-0.734131,-0.146729,-5.981445,-12.634276,-30.456541"
"0.465820,-0.762573,-0.094482,-4.577637,-14.770507,-35.034180"
"0.490112,-0.880005,-0.031494,-14.160155,-14.038085,-41.625973"
"0.486694,-0.887695,0.009155,-2.136230,-6.164550,-39.367676"
"0.448120,-0.809082,-0.043701,3.845215,-2.807617,-39.306641"
"0.410156,-0.757690,-0.080933,7.446289,-3.601074,-44.738766"
"0.398926,-0.772217,-0.108398,3.967285,-5.737304,-53.222652"
"0.399048,-0.872681,-0.153198,-0.549316,-12.756347,-58.044430"
"0.408447,-0.992676,-0.081299,0.915527,-16.357422,-57.006832"
"0.390869,-0.953735,0.049316,16.357422,-15.930175,-49.377438"
"0.373291,-0.898193,0.063354,18.920898,-4.150391,-46.264645"
"0.339233,-0.824829,-0.037720,10.864257,1.159668,-48.034664"
"0.301514,-0.809937,-0.121826,-2.746582,0.244141,-54.199215"
"0.309082,-0.889038,-0.155029,-22.155760,-7.324218,-61.828609"
"0.335205,-1.094482,-0.172729,-3.417969,-18.493652,-53.039547"
"0.300171,-0.992676,-0.049316,16.784668,-22.521971,-45.104977"
"0.253662,-0.849609,0.061646,25.695799,-18.188477,-42.236324"
"0.232422,-0.817505,0.047363,2.746582,-5.126953,-52.185055"
"0.196289,-0.789429,-0.059570,-4.577637,-1.525879,-58.715816"
"0.191406,-0.854126,-0.130981,-5.676269,-3.845215,-72.082520"
"0.209473,-0.978638,-0.135986,-30.578611,-9.643555,-79.406738"
"0.243042,-1.179565,-0.086060,-2.624511,-12.451171,-64.147949"
"0.176758,-1.017822,-0.062378,15.563964,-12.451171,-54.443356"
"0.110352,-0.840332,0.003784,23.498533,-11.169433,-53.222652"
"0.085693,-0.797119,0.008911,3.417969,-4.455566,-66.772461"
"0.033813,-0.779419,-0.026855,-1.098633,-2.746582,-74.951172"
"0.069092,-0.967896,-0.085693,-5.249023,-2.441406,-90.637199"
"0.127563,-1.207153,-0.125122,-47.729488,-2.807617,-90.454094"
"0.167603,-1.464722,-0.103149,2.258301,-11.718749,-49.804684"
"0.055420,-1.086304,-0.004028,36.254883,-14.953612,-30.761717"
"-0.037354,-0.808105,0.066650,40.039062,-8.666992,-27.709959"
"-0.038452,-0.795044,0.034546,13.061522,7.080078,-47.058102"
"-0.036865,-0.846680,-0.070435,-3.479004,9.216309,-57.678219"
"-0.041382,-0.881836,-0.128540,-1.770019,6.164550,-61.035152"
"-0.023560,-0.984253,-0.162720,0.610352,0.427246,-65.307617"
"-0.025635,-1.025146,-0.177856,1.586914,-7.873535,-61.889645"
"-0.063965,-0.966064,-0.162720,10.742187,-13.916015,-59.020992"
"-0.107056,-0.910889,-0.068481,14.160155,-21.728514,-60.729977"
"-0.121216,-0.929565,-0.044922,9.582520,-18.432617,-68.115234"
"-0.128662,-0.972046,0.018921,3.112793,-7.751464,-72.814941"
"-0.143677,-1.072266,-0.052002,-7.934570,-0.671387,-74.279785"
"-0.160278,-1.114136,-0.083130,-6.408691,0.000000,-63.415524"
"-0.154785,-1.120972,-0.074951,-5.798339,0.976562,-50.292965"
"-0.145508,-1.197510,-0.088501,-20.446775,4.638672,-38.696289"
"-0.184692,-1.166382,-0.094116,-10.131835,3.356933,-29.052732"
"-0.232056,-1.021851,-0.083984,10.131835,0.244141,-12.756347"
"-0.244141,-0.971191,-0.082764,7.446289,-1.281738,-8.789063"
"-0.237671,-0.935181,-0.065918,5.310058,-1.098633,-11.108397"
"-0.213867,-0.962036,-0.095093,3.295898,0.366211,-12.634276"
"-0.180298,-1.046753,-0.101196,-0.122070,0.244141,-12.451171"
"-0.174805,-1.069824,-0.108765,-5.065917,0.000000,-3.479004"
"-0.203491,-1.023682,-0.100464,-0.366211,-3.662109,5.493164"
"-0.232178,-0.922119,-0.059082,5.554199,-4.333496,7.019042"
"-0.224121,-0.934570,-0.097168,0.915527,-0.549316,3.051758"
"-0.205200,-1.002563,-0.123901,-11.047362,0.610352,1.525879"
"-0.158203,-1.174805,-0.140137,-14.282226,-1.098633,5.493164"
"-0.152954,-1.206177,-0.092407,-6.103515,-5.493164,23.193357"
"-0.159058,-1.195435,-0.069458,-0.488281,-5.676269,41.809078"
"-0.197876,-1.102783,-0.069946,9.765625,-4.638672,57.006832"
"-0.226440,-0.894653,-0.076904,15.930175,-5.493164,59.692379"
"-0.190063,-0.855835,-0.088623,6.286621,-5.065917,51.147457"
"-0.161621,-0.911011,-0.105469,-17.028809,-2.746582,41.931149"
"-0.090332,-1.099854,-0.091431,-22.583006,-2.197266,44.311520"
"-0.067505,-1.168335,-0.042847,-15.686034,-0.915527,50.415035"
"-0.099121,-1.034180,-0.018677,2.746582,4.028320,67.199707"
"-0.108521,-0.949463,-0.026489,7.995605,7.019042,71.838379"
"-0.089844,-0.905273,-0.028687,0.122070,7.812500,68.542480"
"-0.039307,-0.979248,-0.060059,-19.592285,11.291503,61.157223"
"-0.021362,-1.009155,-0.078003,-18.188477,11.901855,60.546871"
"0.026978,-1.130615,-0.093994,-22.644041,13.061522,66.406250"
"0.072754,-1.310547,-0.098145,-22.216795,13.610839,74.279785"
"0.058472,-1.270996,-0.081543,43.334957,6.713867,100.891106"
